Complaint_Text,Time,Location,Keywords,Previous_History,Incident_Type
Medical emergency at home,Night,Office,medical emergency at,No,Emergency
Need ambulance immediately,Morning,Market,need ambulance immediately,No,Emergency
Need ambulance immediately,Evening,Office,need ambulance immediately,Yes,Emergency
Building collapse reported,Morning,Bank,building collapse reported,No,Emergency
Gas leak reported,Evening,Office,gas leak reported,No,Emergency
Medical emergency at home,Afternoon,School,medical emergency at,Yes,Emergency
Need ambulance immediately,Night,Bank,need ambulance immediately,Yes,Emergency
Fire broke out in apartment,Night,Office,fire broke out,No,Emergency
Building collapse reported,Night,Railway Station,building collapse reported,Yes,Emergency
Need ambulance immediately,Afternoon,Bank,need ambulance immediately,Yes,Emergency
Need ambulance immediately,Night,Bank,need ambulance immediately,No,Emergency
Medical emergency at home,Afternoon,Office,medical emergency at,Yes,Emergency
Building collapse reported,Afternoon,Office,building collapse reported,Yes,Emergency
Gas leak reported,Morning,School,gas leak reported,No,Emergency
Medical emergency at home,Evening,Railway Station,medical emergency at,No,Emergency
Gas leak reported,Evening,Office,gas leak reported,No,Emergency
Fire broke out in apartment,Night,Market,fire broke out,Yes,Emergency
Building collapse reported,Afternoon,Highway,building collapse reported,No,Emergency
Need ambulance immediately,Evening,Railway Station,need ambulance immediately,Yes,Emergency
Medical emergency at home,Afternoon,School,medical emergency at,No,Emergency
Building collapse reported,Night,Residential,building collapse reported,No,Emergency
Medical emergency at home,Morning,Hospital,medical emergency at,No,Emergency
Medical emergency at home,Evening,Market,medical emergency at,Yes,Emergency
Building collapse reported,Evening,School,building collapse reported,Yes,Emergency
Need ambulance immediately,Afternoon,Hospital,need ambulance immediately,Yes,Emergency
Medical emergency at home,Night,Railway Station,medical emergency at,No,Emergency
Building collapse reported,Night,Railway Station,building collapse reported,Yes,Emergency
Fire broke out in apartment,Afternoon,Bank,fire broke out,Yes,Emergency
Gas leak reported,Afternoon,Market,gas leak reported,Yes,Emergency
Medical emergency at home,Afternoon,Bank,medical emergency at,No,Emergency
Medical emergency at home,Morning,Railway Station,medical emergency at,No,Emergency
Medical emergency at home,Morning,Market,medical emergency at,No,Emergency
Gas leak reported,Night,Bank,gas leak reported,No,Emergency
Medical emergency at home,Evening,Hospital,medical emergency at,No,Emergency
Medical emergency at home,Afternoon,Railway Station,medical emergency at,Yes,Emergency
Medical emergency at home,Afternoon,Residential,medical emergency at,Yes,Emergency
Fire broke out in apartment,Afternoon,Highway,fire broke out,No,Emergency
Fire broke out in apartment,Night,Office,fire broke out,Yes,Emergency
Need ambulance immediately,Morning,Highway,need ambulance immediately,Yes,Emergency
Fire broke out in apartment,Morning,Railway Station,fire broke out,No,Emergency
Building collapse reported,Morning,Office,building collapse reported,No,Emergency
Medical emergency at home,Afternoon,Market,medical emergency at,No,Emergency
Building collapse reported,Morning,Office,building collapse reported,Yes,Emergency
Building collapse reported,Morning,Highway,building collapse reported,No,Emergency
Fire broke out in apartment,Morning,Hospital,fire broke out,Yes,Emergency
Need ambulance immediately,Afternoon,Office,need ambulance immediately,Yes,Emergency
Gas leak reported,Night,Office,gas leak reported,Yes,Emergency
Fire broke out in apartment,Night,School,fire broke out,No,Emergency
Gas leak reported,Afternoon,Market,gas leak reported,Yes,Emergency
Fire broke out in apartment,Morning,Hospital,fire broke out,Yes,Emergency
Fire broke out in apartment,Morning,Highway,fire broke out,No,Emergency
Medical emergency at home,Night,Office,medical emergency at,No,Emergency
Building collapse reported,Morning,Highway,building collapse reported,Yes,Emergency
Fire broke out in apartment,Evening,Bank,fire broke out,No,Emergency
Building collapse reported,Morning,Highway,building collapse reported,Yes,Emergency
Fire broke out in apartment,Afternoon,Residential,fire broke out,No,Emergency
Gas leak reported,Night,Office,gas leak reported,Yes,Emergency
Gas leak reported,Evening,Residential,gas leak reported,Yes,Emergency
Building collapse reported,Night,Hospital,building collapse reported,No,Emergency
Building collapse reported,Night,Railway Station,building collapse reported,Yes,Emergency
Fire broke out in apartment,Afternoon,Market,fire broke out,Yes,Emergency
Fire broke out in apartment,Night,Hospital,fire broke out,No,Emergency
Medical emergency at home,Night,Bank,medical emergency at,Yes,Emergency
Medical emergency at home,Night,Hospital,medical emergency at,Yes,Emergency
Building collapse reported,Night,Market,building collapse reported,Yes,Emergency
Gas leak reported,Evening,Market,gas leak reported,Yes,Emergency
Gas leak reported,Morning,Railway Station,gas leak reported,Yes,Emergency
Building collapse reported,Evening,Railway Station,building collapse reported,Yes,Emergency
Need ambulance immediately,Morning,Market,need ambulance immediately,Yes,Emergency
Need ambulance immediately,Night,Hospital,need ambulance immediately,Yes,Emergency
Fire broke out in apartment,Night,Bank,fire broke out,Yes,Emergency
Gas leak reported,Evening,Market,gas leak reported,Yes,Emergency
Need ambulance immediately,Night,Railway Station,need ambulance immediately,Yes,Emergency
Fire broke out in apartment,Night,Hospital,fire broke out,No,Emergency
Fire broke out in apartment,Night,Hospital,fire broke out,No,Emergency
Fire broke out in apartment,Night,Market,fire broke out,Yes,Emergency
Building collapse reported,Night,Market,building collapse reported,Yes,Emergency
Fire broke out in apartment,Evening,School,fire broke out,No,Emergency
Gas leak reported,Evening,Market,gas leak reported,Yes,Emergency
Building collapse reported,Evening,Hospital,building collapse reported,No,Emergency
Building collapse reported,Morning,Highway,building collapse reported,Yes,Emergency
Fire broke out in apartment,Evening,Bank,fire broke out,No,Emergency
Need ambulance immediately,Evening,Highway,need ambulance immediately,Yes,Emergency
Medical emergency at home,Night,Residential,medical emergency at,No,Emergency
Fire broke out in apartment,Evening,School,fire broke out,Yes,Emergency
Fire broke out in apartment,Night,School,fire broke out,No,Emergency
Medical emergency at home,Evening,Highway,medical emergency at,No,Emergency
Fire broke out in apartment,Morning,Hospital,fire broke out,No,Emergency
Need ambulance immediately,Afternoon,Hospital,need ambulance immediately,Yes,Emergency
Need ambulance immediately,Morning,Railway Station,need ambulance immediately,No,Emergency
Need ambulance immediately,Afternoon,Residential,need ambulance immediately,Yes,Emergency
Fire broke out in apartment,Night,Bank,fire broke out,No,Emergency
Building collapse reported,Afternoon,Office,building collapse reported,No,Emergency
Gas leak reported,Evening,Hospital,gas leak reported,Yes,Emergency
Medical emergency at home,Night,Office,medical emergency at,No,Emergency
Need ambulance immediately,Afternoon,School,need ambulance immediately,Yes,Emergency
Need ambulance immediately,Evening,Bank,need ambulance immediately,Yes,Emergency
Medical emergency at home,Evening,Highway,medical emergency at,No,Emergency
Need ambulance immediately,Night,Railway Station,need ambulance immediately,No,Emergency
Building collapse reported,Morning,Highway,building collapse reported,Yes,Emergency
Building collapse reported,Afternoon,Market,building collapse reported,Yes,Emergency
Medical emergency at home,Evening,Residential,medical emergency at,No,Emergency
Gas leak reported,Afternoon,Market,gas leak reported,No,Emergency
Medical emergency at home,Morning,Bank,medical emergency at,No,Emergency
Fire broke out in apartment,Afternoon,Railway Station,fire broke out,Yes,Emergency
Need ambulance immediately,Evening,Market,need ambulance immediately,No,Emergency
Building collapse reported,Night,Bank,building collapse reported,Yes,Emergency
Fire broke out in apartment,Evening,School,fire broke out,No,Emergency
Medical emergency at home,Evening,School,medical emergency at,Yes,Emergency
Gas leak reported,Night,Residential,gas leak reported,Yes,Emergency
Medical emergency at home,Afternoon,Highway,medical emergency at,No,Emergency
Fire broke out in apartment,Night,Office,fire broke out,No,Emergency
Medical emergency at home,Afternoon,Office,medical emergency at,Yes,Emergency
Gas leak reported,Night,Residential,gas leak reported,Yes,Emergency
Medical emergency at home,Evening,Market,medical emergency at,No,Emergency
Building collapse reported,Evening,Highway,building collapse reported,No,Emergency
Need ambulance immediately,Afternoon,Residential,need ambulance immediately,Yes,Emergency
Need ambulance immediately,Afternoon,Railway Station,need ambulance immediately,No,Emergency
Fire broke out in apartment,Evening,School,fire broke out,Yes,Emergency
Gas leak reported,Evening,Bank,gas leak reported,No,Emergency
Medical emergency at home,Night,Market,medical emergency at,Yes,Emergency
Gas leak reported,Night,School,gas leak reported,Yes,Emergency
Fire broke out in apartment,Evening,Railway Station,fire broke out,Yes,Emergency
Building collapse reported,Evening,Office,building collapse reported,Yes,Emergency
Need ambulance immediately,Evening,Hospital,need ambulance immediately,No,Emergency
Fire broke out in apartment,Evening,School,fire broke out,No,Emergency
Need ambulance immediately,Morning,Highway,need ambulance immediately,Yes,Emergency
Need ambulance immediately,Morning,Highway,need ambulance immediately,Yes,Emergency
Medical emergency at home,Night,Highway,medical emergency at,Yes,Emergency
Need ambulance immediately,Night,Highway,need ambulance immediately,Yes,Emergency
Fire broke out in apartment,Night,Bank,fire broke out,Yes,Emergency
Fire broke out in apartment,Morning,Market,fire broke out,Yes,Emergency
Gas leak reported,Morning,School,gas leak reported,No,Emergency
Building collapse reported,Night,Hospital,building collapse reported,No,Emergency
Building collapse reported,Evening,Market,building collapse reported,No,Emergency
Fire broke out in apartment,Morning,Highway,fire broke out,Yes,Emergency
Fire broke out in apartment,Evening,Highway,fire broke out,No,Emergency
Gas leak reported,Morning,Office,gas leak reported,No,Emergency
Building collapse reported,Night,Market,building collapse reported,No,Emergency
Medical emergency at home,Afternoon,Residential,medical emergency at,No,Emergency
Need ambulance immediately,Evening,Residential,need ambulance immediately,No,Emergency
Gas leak reported,Morning,Residential,gas leak reported,Yes,Emergency
Fire broke out in apartment,Morning,Railway Station,fire broke out,Yes,Emergency
Gas leak reported,Afternoon,Bank,gas leak reported,Yes,Emergency
Building collapse reported,Afternoon,Residential,building collapse reported,Yes,Emergency
Medical emergency at home,Evening,School,medical emergency at,Yes,Emergency
Medical emergency at home,Morning,Hospital,medical emergency at,Yes,Emergency
Gas leak reported,Morning,Office,gas leak reported,Yes,Emergency
Medical emergency at home,Night,Bank,medical emergency at,No,Emergency
Medical emergency at home,Afternoon,Highway,medical emergency at,No,Emergency
Need ambulance immediately,Morning,School,need ambulance immediately,No,Emergency
Building collapse reported,Night,Bank,building collapse reported,No,Emergency
Need ambulance immediately,Afternoon,Bank,need ambulance immediately,No,Emergency
Building collapse reported,Afternoon,Market,building collapse reported,No,Emergency
Medical emergency at home,Afternoon,Railway Station,medical emergency at,No,Emergency
